horse,career_runs,win_strike_rate
A. A. Azulas Arch (USA),9,0.1111111111111111
A. K. Safari (USA),0,0.0
A. P. Again (USA),0,0.0
A. P. Cino (USA),1,0.0
A. P. Indian (USA),8,0.5
A. P. Kid (USA),0,0.0
A. P. Sonata (USA),0,0.0
A. P. Zona (USA),0,0.0
A. P.s Girl (USA),0,0.0
A. P.s Glory (USA),0,0.0
A. P.s Secret (USA),1,0.0
A. Rod Again (USA),1,0.0
AAli (IRE),10,0.4
AAli G (GB),6,0.3333333333333333
AJS Barood (QA),1,0.0
AJS Jallaad (QA),1,0.0
AShaari (GB),4,0.25
AShamardi (IRE),3,0.3333333333333333
Aa Bee See (GB),33,0.1515151515151515
Aabenra (FR),0,0.0
Aabir (IRE),2,0.0
Aablan (IRE),9,0.3333333333333333
Aachen (GB),14,0.2142857142857142
Aaddeey (IRE),15,0.2666666666666666
Aadel (FR),3,0.0
Aadila (GB),5,0.0
Aadya (GB),0,0.0
Aafoor (USA),8,0.0
Aagas (AUS),2,0.0
Aah Pat (IRE),1,0.0
Aajej (GB),8,0.125
Aalaalune (NZ),2,0.0
Aalayyan (USA),0,0.0
Aalim (GB),2,0.0
Aaliya (GB),5,0.2
Aalto (FR),22,0.1363636363636363
Aaly (GB),7,0.0
Aaman (IRE),18,0.0555555555555555
Aan Alawaan (KSA),1,0.0
Aar (FR),2,0.0
Aaranyow (IRE),1,0.0
Aardvark (AUS),1,0.0
Aardwolf (USA),28,0.1785714285714285
Aared (IRE),25,0.16
Aarhus (FR),4,0.0
Aaron (FR),5,0.0
Aaron Boy (IRE),8,0.0
Aaron Lad (IRE),24,0.2083333333333333
Aarons Day (IRE),31,0.0967741935483871
Aaryam (FR),12,0.0
Aasheq (IRE),33,0.1212121212121212
Aashiqui (AUS),0,0.0
Aasira (AUS),1,0.0
Aasleagh Dawn (IRE),31,0.0967741935483871
Aasleagh Fawn (IRE),18,0.1111111111111111
Aasser (FR),8,0.25
Aatekemhor (GB),1,0.0
Aathit (JPN),1,0.0
Aazza (IRE),26,0.1538461538461538
Aba De Touzaine (FR),1,1.0
Aba Maajid (IRE),2,0.0
Abaad (IRE),3,0.0
Abaan (USA),10,0.2
Ababeel (FR),5,0.2
Ababil (USA),8,0.25
Abacadabras (FR),19,0.3157894736842105
Abachi (GER),0,0.0
Abaco Ridge (GB),4,0.0
Abacur (FR),0,0.0
Abacus (GB),0,0.0
Abadan (GB),14,0.2857142857142857
Abadie (GB),13,0.0
Abadoo (GB),2,0.0
Abago (FR),0,0.0
Abakahn (GER),0,0.0
Abalone Pearl (IRE),1,0.0
Abalya (FR),2,0.0
Abama (FR),8,0.375
Abamanova (IRE),9,0.1111111111111111
Abamo (GER),0,0.0
Aban (IRE),6,0.0
Abando (GER),7,0.0
Abandon Ship (IRE),2,0.0
Abanica (GB),11,0.0
Abaq (GB),0,0.0
Abareeq (GB),28,0.1785714285714285
Abarrio Forever (USA),1,0.0
Abarta (IRE),19,0.2105263157894736
Abarta (USA),1,0.0
Abashiri (GB),2,0.5
Abashiri (SAF),7,0.2857142857142857
Abasto (FR),6,0.0
Abate (GB),75,0.1333333333333333
Abatement (GB),7,0.1428571428571428
Abaya Du Mathan (FR),69,0.0869565217391304
Abayo (USA),3,0.0
Abazaami (GB),1,0.0
Abba Chop (FR),1,0.0
Abba Des Genievres (FR),0,0.0
Abba Forever (FR),0,0.0
Abba Gold (IRE),0,0.0
Abba Zabba (IRE),2,0.0
Abbaa (USA),1,0.0
Abbadia (IRE),6,0.1666666666666666
Abbado (GB),4,0.5
Abbaleka (GB),14,0.0
Abbarezt (FR),9,0.0
Abbazagga (IRE),6,0.0
Abbello (FR),2,0.0
Abberley Dancer (IRE),11,0.0909090909090909
Abbey (GER),0,0.0
Abbey Actress (IRE),9,0.2222222222222222
Abbey Angel (IRE),15,0.1333333333333333
Abbey Bay (IRE),1,0.0
Abbey Gardens (IRE),4,0.25
Abbey Heights (GB),16,0.3125
Abbey Lane (IRE),9,0.0
Abbey Law (GB),8,0.125
Abbey Magic (IRE),19,0.3684210526315789
Abbey Marie (AUS),13,0.0769230769230769
Abbey Road (FR),1,0.0
Abbey Road (NZ),0,0.0
Abbey Scope (GB),6,0.1666666666666666
Abbey Storm (IRE),3,0.0
Abbey Street (IRE),19,0.0526315789473684
Abbey Vale (IRE),3,0.0
Abbey Wharf (IRE),7,0.0
Abbeydale (FR),15,0.0666666666666666
Abbeyfeale (IRE),6,0.0
Abbeyglen (FR),0,0.0
Abbeygrey (IRE),18,0.1111111111111111
Abbeyhill (IRE),16,0.125
Abbeyleix (GB),2,0.0
Abbeys Dream (GB),19,0.1578947368421052
Abbeyview (IRE),7,0.2857142857142857
Abbi Dab (GB),1,0.0
Abbi Shore (GB),5,0.0
Abbie Chope (FR),3,0.0
Abbie Power (IRE),9,0.0
Abbo (USA),0,0.0
Abbotrule (GB),0,0.0
Abbotsfield (IRE),2,0.0
Abbotsford (GB),1,0.0
Abbotside (GB),6,0.0
Abbotswood (IRE),3,0.3333333333333333
Abbreviate (GER),20,0.05
Abbreviate (USA),1,0.0
Abby Hatcher (IRE),4,0.5
Abbys Magic (IRE),5,0.0
Abbyssial (IRE),5,0.0
Abdaa (USA),0,0.0
Abdaar (USA),0,0.0
Abdel (FR),0,0.0
Abdel Nazer (PER),2,0.0
Abdicator (AUS),0,0.0
Abdon (GB),16,0.125
Abduction (AUS),3,0.0
Abduction (FR),73,0.1506849315068493
Abdulhamid (IRE),0,0.0
Abe Lincoln (USA),15,0.2
Abegudsam (IRE),4,0.0
Abeja (IRE),0,0.0
Abel Handy (IRE),46,0.108695652173913
Abel Mabel (IRE),11,0.0909090909090909
Abel Tasman (GB),37,0.1081081081081081
Abel Tasman (USA),12,0.5
Abelard F (IRE),37,0.1621621621621621
Abelene (IRE),2,0.0
Abelia (FR),4,0.0
Abenaki (GB),6,0.0
Abenakian (IRE),3,0.0
Abendprinz (GER),0,0.0
Abendwind (GER),4,0.0
Abenin Dream (JPN),0,0.0
Abeona (IRE),5,0.2
Aber (FR),2,0.0
Aberama Gold (GB),114,0.1403508771929824
Aberdeen Flyer (AUS),0,0.0
Aberdeen Queen (AUS),0,0.0
Aberdeen Way (USA),0,0.0
Aberdonian (GB),9,0.0
Aberfeldie Boy (AUS),4,0.0
Aberfeldy (IRE),1,0.0
Aberffraw (GB),2,0.0
Aberfoyle (IRE),3,0.0
Aberlady (USA),9,0.0
Aberlour (NZ),2,0.0
Aberro (AUS),3,0.0
Abertillery (GB),20,0.0
Abesti Gogorra (IRE),0,0.0
Abeyance (USA),0,0.0
Abfab (IRE),3,0.3333333333333333
Abha (FR),2,0.0
Abhainn (FR),1,0.0
Abhainn Dubh (IRE),0,0.0
Abhajat (IRE),1,0.0
Abhayaa (IRE),11,0.0909090909090909
Abi Scarlet (IRE),12,0.0833333333333333
Abiat (FR),14,0.1428571428571428
Abidewithme (NZ),12,0.0
Abiding Star (IRE),14,0.0
Abiding Star (USA),5,0.0
Abidingbytherules (IRE),1,0.0
Abidjan (FR),17,0.2941176470588235
Abie My Boy (GB),4,0.0
Abiento (IRE),13,0.1538461538461538
Abientot (USA),3,0.0
Abierto (JPN),0,0.0
Abies Hollow (GB),18,0.0
Abigael (GB),1,0.0
Abigail (USA),0,0.0
Abigail Lynch (IRE),9,0.0
Abijoe (GB),5,0.0
Abila (FR),5,0.0
Abilene Paradox (GB),2,0.0
Ability (AUS),1,1.0
Ability (GER),6,0.0
Ability N Delivery (GB),8,0.0
Abillity (GB),0,0.0
Abingdon (USA),10,0.4
Abington Park (GB),22,0.0454545454545454
Abingworth (GB),33,0.1818181818181818
Abiona (GER),2,0.0
Abiquiu (IRE),0,0.0
Abis Champ (IRE),4,0.5
Abisola (FR),6,0.0
Abitlikethat (IRE),2,0.0
Abitofamonster (IRE),1,0.0
Abitofasort (IRE),0,0.0
Abitofbob (GB),0,0.0
Abjar (GB),12,0.0833333333333333
Abjure (USA),0,0.0
Ablaan (AUS),0,0.0
Ablah (USA),19,0.0526315789473684
Ablaze (FR),1,0.0
Ablaze (GB),19,0.1052631578947368
Ablaze (JPN),12,0.0
Ablazing (IRE),16,0.1875
Able Astra (IRE),1,0.0
Able Bay (GB),1,0.0
Able Dash (GB),20,0.05
Able Dealer (IRE),7,0.0
Able Deed (AUS),1,0.0
Able Deputy (GB),0,0.0
Able Friend (AUS),9,0.3333333333333333
Able Grace (IRE),6,0.0
Able Jack (GB),42,0.1666666666666666
Able Kane (GB),48,0.1666666666666666
Able Knight (AUS),0,0.0
Able Love (GB),9,0.0
Able Reign (AUS),4,0.0
Able Spirit (GB),0,0.0
Able Talent (NZ),4,0.0
Ablestock (NZ),0,0.0
Abletai (IRE),1,0.0
Ablon (FR),3,0.0
Abloom (GB),6,0.3333333333333333
Ablueazure (SAF),0,0.0
Abnaa (GB),54,0.1296296296296296
Abo Jana (KSA),0,0.0
Abo Shaikhah (KSA),1,0.0
Aboard The Beagle (GB),5,0.0
Abogada Brava (ARG),1,0.0
Abogados (IRE),15,0.0
Abohar (AUS),0,0.0
Abolish (AUS),0,0.0
Abolish (GB),38,0.0526315789473684
Abolitionist (IRE),17,0.2352941176470588
Abondance (FR),0,0.0
Abondant (FR),5,0.0
Abonos (IRE),9,0.0
Aboras Mahler (IRE),5,0.0
Aborigene (FR),34,0.088235294117647
Abou Dream (FR),3,0.3333333333333333
Abou Selem (FR),3,0.3333333333333333
Aboulie (IRE),5,0.4
Abound (GB),5,0.0
Abounding (AUS),17,0.1176470588235294
Abounding (USA),0,0.0
Abounding Joy (USA),0,0.0
About A Girl (FR),2,0.0
About A Girl (NZ),0,0.0
About Glory (GB),28,0.1071428571428571
About Last Night (FR),3,0.0
About Midnight (IRE),5,0.2
About Turn (GB),4,0.0
About You (IRE),14,0.0714285714285714
Aboutagout (IRE),8,0.0
Aboutdamntime (IRE),10,0.3
Abouttimeyoutoldme (GB),20,0.0
Above (FR),54,0.1296296296296296
Above (NZ),49,0.1428571428571428
Above All (AUS),19,0.1578947368421052
Above All Names (USA),3,0.0
Above And Beyond (FR),0,0.0
Above Authority (AUS),0,0.0
Above Board (IRE),14,0.2857142857142857
Above Fashion (USA),0,0.0
Above It All (IRE),32,0.0625
Above Lixnaw (IRE),1,0.0
Above N Beyond (GB),27,0.074074074074074
Above Normal (GB),28,0.1428571428571428
Above Par (USA),0,0.0
Above Suspicion (IRE),13,0.0
Above The City (IRE),12,0.0833333333333333
Above The Clouds (FR),0,0.0
Above The Curve (USA),14,0.2857142857142857
